0.438	2.5449410	1.7709070
0.440	2.5124920	1.7878310
0.443	2.4801380	1.8049850
0.445	2.4478810	1.8223700
0.448	2.4157260	1.8399890
0.450	2.3836780	1.8578440
0.453	2.3517390	1.8759350
0.455	2.3198460	1.8943030
0.458	2.2869850	1.9135560
0.460	2.2542360	1.9330810
0.463	2.2216220	1.9528660
0.465	2.1891500	1.9729140
0.468	2.1568230	1.9932250
0.470	2.1246460	2.0138010
0.473	2.0925850	2.0346680
0.475	2.0597630	2.0564170
0.478	2.0270840	2.0784720
0.480	1.9945860	2.1008110
0.483	1.9622730	2.1234350
0.485	1.9301510	2.1463440
0.488	1.8982260	2.1695380
0.490	1.8663370	2.1931400
0.493	1.8338860	2.2176170
0.495	1.8016600	2.2423950
0.498	1.7696660	2.2674730
0.500	1.7379080	2.2928510
0.503	1.7063930	2.3185260
0.505	1.6751260	2.3444970
0.508	1.6435430	2.3712470
0.510	1.6117570	2.3987160
0.513	1.5802540	2.4264940
0.515	1.5490410	2.4545790
0.518	1.5181220	2.4829680
0.520	1.4875040	2.5116570
0.523	1.4570350	2.5407910
0.525	1.4258920	2.5711990
0.528	1.3950910	2.6019160
0.530	1.3646390	2.6329390
0.533	1.3345400	2.6642610
0.535	1.3048000	2.6958770
0.538	1.2754020	2.7278050
0.540	1.2453150	2.7612010
0.543	1.2155630	2.7949730
0.545	1.1862200	2.8290340
0.548	1.1572910	2.8633760
0.550	1.1287820	2.8979900
0.553	1.1006620	2.9329080
0.555	1.0723690	2.9688530
0.558	1.0445080	3.0050810
0.560	1.0171020	3.0415550
0.563	0.9901544	3.0782650
0.565	0.9636674	3.1152000
0.568	0.9374440	3.1526330
0.570	0.9109903	3.1913170
0.573	0.8850369	3.2302070
0.575	0.8595852	3.2692890
0.578	0.8346360	3.3085520
0.580	0.8101895	3.3479820
0.583	0.7857143	3.3884510
0.585	0.7614481	3.4296150
0.588	0.7377197	3.4709180
0.590	0.7145274	3.5123450
0.593	0.6918690	3.5538830
0.595	0.6696426	3.5957060
0.598	0.6475893	3.6383210
0.600	0.6260833	3.6810100
0.603	0.6051205	3.7237590
0.605	0.5846962	3.7665550
0.608	0.5648035	3.8093880
0.610	0.5448362	3.8535890
0.613	0.5253721	3.8979230
0.615	0.5064591	3.9422540
0.618	0.4880901	3.9865680
0.620	0.4702570	4.0308530
0.623	0.4525460	4.0761470
0.625	0.4352829	4.1215380
0.628	0.4185607	4.1668460
0.630	0.4023698	4.2120850
0.633	0.3867000	4.2571210
0.635	0.3712140	4.3029840
0.638	0.3561886	4.3489930
0.640	0.3416782	4.3949360
0.643	0.3276712	4.4407970
0.645	0.3141369	4.4865250
0.648	0.3007151	4.5334710
0.650	0.2877687	4.5803880
0.653	0.2753064	4.6271820
0.655	0.2633152	4.6738420
0.658	0.2517204	4.7206060
0.660	0.2404393	4.7677980
0.663	0.2296051	4.8148240
0.665	0.2192040	4.8616770
0.668	0.2092226	4.9083510
0.670	0.1994386	4.9558690
0.673	0.1899745	5.0036670
0.675	0.1809147	5.0512630
0.678	0.1722451	5.0986530
0.680	0.1639106	5.1460710
0.683	0.1558090	5.1940910
0.685	0.1480724	5.2418940
0.688	0.1406869	5.2894790
0.690	0.1336391	5.3368480
0.693	0.1268121	5.3847390
0.695	0.1202899	5.4325380
0.698	0.1140775	5.4801160
0.700	0.1081621	5.5274770
0.703	0.1024473	5.5753310
0.705	0.0969532	5.6235150
0.708	0.0917335	5.6714770
0.710	0.0867762	5.7192210
0.713	0.0820268	5.7671830
0.715	0.0774584	5.8156180
0.718	0.0731289	5.8638350
0.720	0.0690270	5.9118370
0.723	0.0651172	5.9599310
0.725	0.0613651	6.0085030
0.728	0.0578174	6.0568630
0.730	0.0544639	6.1050140
0.733	0.0512729	6.1533280
0.735	0.0482116	6.2022340
0.738	0.0453226	6.2509230
0.740	0.0425985	6.2994070
0.743	0.0400106	6.3480640
0.745	0.0375467	6.3970660
0.748	0.0352277	6.4458660
0.750	0.0330457	6.4944700
0.753	0.0309659	6.5435320
0.755	0.0289935	6.5928730
0.758	0.0271417	6.6420180
0.760	0.0254036	6.6909700
0.763	0.0237493	6.7404390
0.765	0.0221947	6.7898550
0.768	0.0207381	6.8390800
0.770	0.0193701	6.8882470
0.773	0.0180720	6.9379130
0.775	0.0168580	6.9873910
0.778	0.0157228	7.0366830
0.780	0.0146484	7.0864100
0.783	0.0136352	7.1364760
0.785	0.0126898	7.1863560
0.788	0.0118067	7.2361260
0.790	0.0109681	7.2866580
0.793	0.0101864	7.3370710
0.795	0.0094589	7.3872990
0.798	0.0087767	7.4377400
0.800	0.0081385	7.4883230
0.803	0.0075456	7.5387230
0.805	0.0069934	7.5890610
0.808	0.0064736	7.6399370
0.810	0.0059915	7.6906310
0.813	0.0055445	7.7411440
0.815	0.0051228	7.7923900
0.818	0.0047307	7.8437080
0.820	0.0043679	7.8948450
0.823	0.0040302	7.9461250
0.825	0.0037164	7.9975340
0.828	0.0034265	8.0487620
0.830	0.0031572	8.1000990
0.833	0.0029051	8.1520370
0.835	0.0026728	8.2037930
0.838	0.0024583	8.2554710
0.840	0.0022581	8.3076730
0.843	0.0020739	8.3597110
0.845	0.0019042	8.4116260
0.848	0.0017459	8.4641530
0.850	0.0016004	8.5165730
0.853	0.0014667	8.5688440
0.855	0.0013421	8.6217790
0.858	0.0012278	8.6746440
0.860	0.0011229	8.7273420
0.863	0.0010260	8.7803800
0.865	0.0009373	8.8333100
0.868	0.0008560	8.8860980
0.870	0.0007806	8.9395110
0.873	0.0007116	8.9928380
0.875	0.0006486	9.0460600
0.878	0.0005903	9.0999000
0.880	0.0005370	9.1536210
0.883	0.0004885	9.2072460
0.885	0.0004439	9.2611900
0.888	0.0004033	9.3149490
0.890	0.0003662	9.3688210
0.893	0.0003321	9.4231720
0.895	0.0003011	9.4773340
0.898	0.0002727	9.5317580
0.900	0.0002469	9.5864020
0.903	0.0002234	9.6408540
0.905	0.0002020	9.6957280
0.908	0.0001825	9.7505800
0.910	0.0001648	9.8053540
0.913	0.0001487	9.8607450
0.915	0.0001340	9.9159820
0.918	0.0001208	9.9712720
0.920	0.0001088	10.0266900
0.923	0.0000980	10.0819200
0.925	0.0000881	10.1377600
0.928	0.0000791	10.1936200
0.930	0.0000711	10.2494400
0.933	0.0000638	10.3056300
0.935	0.0000572	10.3616200
0.938	0.0000513	10.4178300
0.940	0.0000460	10.4740400
0.943	0.0000412	10.5301900
0.945	0.0000368	10.5869000
0.948	0.0000329	10.6434100
0.950	0.0000294	10.7003500
0.953	0.0000262	10.7574100
0.955	0.0000234	10.8144000
0.958	0.0000208	10.8716900
0.960	0.0000186	10.9287700
0.963	0.0000165	10.9862000
0.965	0.0000147	11.0435400
0.968	0.0000131	11.1010600
0.970	0.0000116	11.1588400
0.973	0.0000103	11.2165000
0.975	0.0000091	11.2745400
0.978	0.0000081	11.3324000
0.980	0.0000072	11.3907800
0.983	0.0000064	11.4491500
0.985	0.0000056	11.5075700
0.988	0.0000050	11.5660400
0.990	0.0000044	11.6245100
0.993	0.0000039	11.6834600
0.995	0.0000034	11.7422500
0.998	0.0000030	11.8014400
1.000	0.0000026	11.8604700
